text,label
"Maybe Actually, I need to discuss my friends...",neutral
"Actually, I need to discuss my friends... right?",neutral
I feel like I love school really,positive
"Hey, I hate my friends from my perspective!",negative
"You know what, I need to discuss my friends as far as I can tell!!",neutral
"In my experience, I'm upset about school I suppose,",negative
"I'm upset about school I suppose,!!",negative
"You know, So, Let's talk about my day",neutral
"So, Let's talk about my day I think",neutral
"To be honest, Let's talk about my future don't you think?...?",neutral
"Honestly, I love my job quite maybe",positive
"Honestly, I love my job quite!",positive
"Honestly, So, Let's talk about my future actually.",neutral
"So, Let's talk about my future actually. you know?",neutral
"So, I hate my family ...?",negative
Let's talk about my family you know?! I think,neutral
"You know, I'm thinking about my job as far as I can tell!",neutral
"Hey, I need to discuss my future right? don't you think?",neutral
"Listen, I'm really happy about my friends as far as I can tell maybe",positive
Let's talk about school very,neutral
"Hmm, I hate my past",negative
"Actually, Hey, I love my friends",positive
"Hey, I love my friends you know?",positive
"Hey, I love my friends!!",positive
I'm disappointed with my job. from my perspective,negative
I'm disappointed with my job....,negative
"In my experience, I'm upset about my past you know",negative
Let's talk about my past from my perspective! from my perspective,neutral
"You know, I mean, I love work I think?",positive
I love my job I think! you know?,positive
I love my job I think!!,positive
"Look, Let's talk about my family I think!! I think",neutral
"You know, I love school I think",positive
I love school I think in my opinion,positive
I love school I think?!,positive
I'm disappointed with my future don't you think?...! in my opinion,negative
I'm disappointed with my future don't you think?...!!!,negative
"Listen, I hate my future you know I think",negative
"I feel like So, I'm thinking about my health",neutral
I feel like I'm thinking about my job I suppose,neutral
I'm thinking about my job I suppose...,neutral
"Honestly, I'm thinking about school really",neutral
I'm thinking about school really in my opinion,neutral
I'm thinking about school really...?,neutral
"Actually, Let's talk about my family if you ask me",neutral
I'm really happy about my job I suppose?! you know?,positive
I'm really happy about my job I suppose?!...?,positive
"I believe Actually, I'm excited for my job it seems!",positive
"Actually, I'm excited for my job it seems!!!",positive
"In my experience, I'm excited for my future wouldn't you say??!",positive
I'm excited for my future wouldn't you say??!?!,positive
"You see, I hate school very? from my perspective",negative
"You see, I hate school very?...?",negative
"Maybe Well, Let's talk about my past",neutral
"Well, Let's talk about my past!!",neutral
"Honestly, I'm disappointed with work quite",negative
I'm disappointed with work quite I think,negative
"I believe I mean, I'm excited for my past",positive
"I mean, I'm excited for my past don't you think?",positive
"Actually, So, Let's talk about my past if you ask me?!",neutral
I hate my relationship in my opinion from my perspective,negative
"Honestly, I'm upset about my past don't you think?",negative
I'm upset about my past don't you think?...,negative
"I'm upset about my health, maybe",negative
"You know, I'm thinking about my family if you ask me",neutral
I'm thinking about my family if you ask me right?,neutral
"You know what, Let's talk about my relationship",neutral
"Honestly, I mean, I'm thinking about my future ",neutral
"I mean, I'm thinking about my future ...",neutral
"You see, I'm disappointed with my health don't you think??! you know?",negative
"I mean, I'm disappointed with my day in my opinion!!",negative
"I believe Honestly, I'm thinking about my day",neutral
"Honestly, I'm thinking about my day don't you think?",neutral
"Hey, I'm disappointed with my future I suppose?!...",negative
I love my family from my perspective from my perspective,positive
"Hmm, I'm disappointed with school",negative
"Maybe To be honest, I'm disappointed with my friends!!",negative
"To be honest, I'm disappointed with my friends!! in my opinion",negative
"Hey, I'm really happy about my job from my perspective right?",positive
"Well, I hate my relationship!",negative
"You see, I love my health actually",positive
"Honestly, I'm disappointed with my health I believe??",negative
"You know, Listen, I'm thinking about my friends actually",neutral
"Listen, I'm thinking about my friends actually?!",neutral
"You know, So, I'm really happy about my future in my opinion?",positive
"You know, Hmm, I need to discuss my family I suppose",neutral
"Hmm, I need to discuss my family I suppose you know?",neutral
I'm excited for my future quite in my opinion,positive
I'm excited for my future quite!,positive
I need to discuss my day don't you think?,neutral
I hate my past very,negative
I think I'm upset about school it seems,negative
I'm upset about school it seems!!,negative
"I feel like I mean, I'm thinking about my past I suppose",neutral
"I mean, I'm thinking about my past I suppose...?",neutral
"In my experience, Hmm, I'm upset about my future I suppose",negative
I think I'm disappointed with my health quite?,negative
I'm disappointed with my health quite? in my opinion,negative
I think I'm really happy about my health actually?,positive
I feel like I'm really happy about school,positive
I need to discuss my future right???!!,neutral
"In my experience, I love my friends!",positive
"I hate my past as far as I can tell, from my perspective",negative
"In my experience, Well, I'm upset about my family,",negative
"Well, I'm upset about my family, from my perspective",negative
"You know, Look, I'm upset about my health I suppose",negative
"Look, I'm upset about my health I suppose right?",negative
"Look, I'm upset about my health I suppose?!",negative
"I believe Hey, I love my job,",positive
"Hey, I love my job, right?",positive
"You know, I mean, I'm really happy about my relationship I suppose",positive
"Honestly, You know what, Let's talk about my health!",neutral
"You know what, Let's talk about my health! you know?",neutral
"You know what, Let's talk about my health!!",neutral
I'm really happy about my past wouldn't you say?? in my opinion,positive
I hate my past?! I think,negative
I hate my past?!...?,negative
"Hmm, I hate my relationship...! I think",negative
"Hmm, I hate my relationship...!...",negative
I'm disappointed with my friends I suppose?,negative
"I feel like Listen, I hate my friends",negative
"Listen, I hate my friends right?",negative
I hate my day from my perspective.,negative
"You know, I'm thinking about my job really",neutral
I'm thinking about my job really I think,neutral
"Listen, I'm really happy about my day as far as I can tell...",positive
I love my friends you know...! I think,positive
I'm excited for my job I think.!,positive
"Actually, I'm really happy about my friends maybe",positive
"Actually, I'm really happy about my friends?!",positive
"You see, Let's talk about my family from my perspective?",neutral
"In my experience, Honestly, I'm disappointed with my past very,",negative
I need to discuss work in my opinion!,neutral
"I think Actually, I'm upset about my relationship actually",negative
"Actually, I'm upset about my relationship actually from my perspective",negative
"Actually, I'm upset about my relationship actually...?",negative
I'm upset about my health you know!!,negative
"Well, I hate my job!",negative
"So, Let's talk about work wouldn't you say? in my opinion",neutral
"So, I'm upset about my future it seems you know?",negative
"You see, Let's talk about work very?!",neutral
"To be honest, I love school I believe...",positive
"In my experience, I'm disappointed with my day wouldn't you say?",negative
I'm disappointed with my day wouldn't you say? I think,negative
I'm disappointed with my day wouldn't you say??!,negative
Let's talk about my family from my perspective maybe,neutral
Let's talk about my family from my perspective...?,neutral
"In my experience, Actually, I'm disappointed with work actually",negative
"So, I love my future!",positive
"I'm upset about my friends,...?",negative
"You know, I'm excited for my past if you ask me",positive
"Well, I'm upset about work I think? maybe",negative
"Well, I'm upset about work I think?!",negative
"Maybe So, I'm really happy about work",positive
"So, I'm really happy about work I think",positive
"So, I'm really happy about work...?",positive
"Actually, Hey, I hate my future as far as I can tell",negative
"Honestly, I'm excited for my future really?!",positive
I'm excited for my future really?! I think,positive
I'm excited for my future really?!?!,positive
Let's talk about my friends I suppose...,neutral
I think Let's talk about my friends you know?!,neutral
Let's talk about my friends you know?!...?,neutral
I'm excited for my family actually you know?,positive
"In my experience, Let's talk about my friends I suppose...!",neutral
Let's talk about my friends I suppose...! in my opinion,neutral
"Actually, I mean, I'm excited for school I think...!",positive
"I mean, I'm excited for school I think...! don't you think?",positive
"I mean, I'm excited for school I think...!!!",positive
"I feel like You see, I'm excited for my friends if you ask me ",positive
"You see, I'm excited for my friends if you ask me  maybe",positive
"You see, I'm excited for my friends if you ask me ...",positive
"So, I need to discuss my day I believe !",neutral
I need to discuss my health I believe!! I think,neutral
I need to discuss my health I believe!!...?,neutral
"I mean, I'm upset about my health I think",negative
"Maybe Honestly, I'm thinking about my relationship don't you think?",neutral
"Honestly, I'm thinking about my relationship don't you think? from my perspective",neutral
"I believe So, I'm upset about work",negative
"So, I'm upset about work...?",negative
"You know, I'm thinking about my health from my perspective...!",neutral
I'm thinking about my health from my perspective...! don't you think?,neutral
I'm thinking about my health from my perspective...!!,neutral
"Actually, I love my past!",positive
I love my past! in my opinion,positive
I love my past!!,positive
"I mean, I hate work?!",negative
I need to discuss my relationship I think ,neutral
"Hey, I hate school very you know?",negative
"Hey, I hate school very...",negative
"Actually, Hey, I'm really happy about my friends",positive
"Hey, I'm really happy about my friends from my perspective",positive
I'm excited for my friends you know you know?,positive
I'm excited for my friends you know...,positive
"Actually, I love my health as far as I can tell. you know?",positive
I'm excited for my day right?. don't you think?,positive
I'm excited for my day right?.!!,positive
"Listen, I love my family from my perspective...",positive
"Honestly, I need to discuss school?! in my opinion",neutral
"Honestly, I need to discuss school?!!",neutral
"I mean, I'm thinking about my past ?!",neutral
"Actually, I'm upset about my past you know?",negative
"Actually, I'm upset about my past?!",negative
"Honestly, Hmm, I hate my day quite",negative
"Hmm, I hate my day quite don't you think?",negative
"Hmm, I hate my day quite!!",negative
"In my experience, Actually, I need to discuss my past it seems?",neutral
"Actually, I need to discuss my past it seems? right?",neutral
I'm really happy about my family right?!!,positive
Let's talk about my relationship it seems right?,neutral
I'm excited for my day you know...! right?,positive
I'm excited for my day you know...!!,positive
"Honestly, To be honest, I'm thinking about my future!",neutral
"To be honest, I'm thinking about my future! you know?",neutral
"Look, I love my future it seems",positive
"I feel like So, I'm thinking about my job I think",neutral
"So, I'm thinking about my job I think in my opinion",neutral
"So, I'm thinking about my job I think...",neutral
"I believe You see, Let's talk about my day from my perspective",neutral
"You see, Let's talk about my day from my perspective in my opinion",neutral
"You see, Let's talk about my day from my perspective...",neutral
"Maybe To be honest, I love my friends",positive
"In my experience, I'm really happy about my health actually?!",positive
Let's talk about my job it seems...!...?,neutral
"I believe Well, Let's talk about my day don't you think?",neutral
"Well, Let's talk about my day don't you think? from my perspective",neutral
"Well, Let's talk about my day don't you think?...?",neutral
"You know, Hey, I need to discuss my family very",neutral
"Hey, I need to discuss my family very...",neutral
Maybe I love my future I believe??,positive
"Well, I'm thinking about my day I suppose!",neutral
"Maybe Honestly, I'm upset about work don't you think?",negative
Maybe I'm excited for school actually...,positive
"Actually, I'm upset about my health",negative
I'm upset about my health right?,negative
"You know, So, I need to discuss my health",neutral
"So, I need to discuss my health...",neutral
I'm thinking about my job right? I think,neutral
I believe I'm upset about school I suppose,negative
I'm upset about school I suppose...,negative
I need to discuss my job you know?? right?,neutral
I need to discuss my job you know??!!,neutral
"Honestly, I'm disappointed with my future as far as I can tell",negative
I'm disappointed with my future as far as I can tell you know?,negative
"In my experience, I'm disappointed with work in my opinion",negative
"Hmm, I'm excited for my day?!...",positive
"I believe Actually, I'm upset about my future wouldn't you say?",negative
"Actually, I'm upset about my future wouldn't you say?...?",negative
I feel like I'm thinking about my day I think,neutral
I'm thinking about my day I think in my opinion,neutral
I'm really happy about my job I suppose? right?,positive
I'm excited for my past!! you know?,positive
I'm really happy about my relationship?!,positive
I hate my health it seems maybe,negative
I hate my health it seems!!,negative
"Listen, I'm upset about my future in my opinion,",negative
"Look, I'm thinking about my friends from my perspective!",neutral
I'm disappointed with my family quite,negative
"You know, To be honest, I need to discuss my future I believe",neutral
"I think Honestly, Let's talk about my job",neutral
"Honestly, Let's talk about my job maybe",neutral
"Honestly, Let's talk about my job!!",neutral
I'm disappointed with my future it seems !,negative
I'm thinking about my relationship I believe,neutral
I hate my future if you ask me,negative
"Honestly, I love my health?!",positive
I love my health?! maybe,positive
I love my health?!?!,positive
"To be honest, I'm really happy about work right?",positive
I believe I hate work you know,negative
I hate work you know!,negative
"You know, I need to discuss my friends wouldn't you say?!!",neutral
I need to discuss my friends wouldn't you say?!!...,neutral
"I believe To be honest, I'm upset about my relationship,",negative
"To be honest, I'm upset about my relationship, I think",negative
I'm really happy about my past in my opinion?!!!,positive
"You know, I'm thinking about my friends I think",neutral
I'm thinking about my friends I think from my perspective,neutral
"So, I'm disappointed with my day you know",negative
"You know, Hmm, Let's talk about my day quite??",neutral
"Hmm, Let's talk about my day quite??!!",neutral
I'm thinking about work?? in my opinion,neutral
"Maybe Look, I'm disappointed with my health very",negative
"Look, I'm disappointed with my health very...?",negative
"I think I need to discuss my relationship I suppose,",neutral
"I need to discuss my relationship I suppose, I think",neutral
I'm upset about my family it seems,negative
I believe I hate my job very...!,negative
"Actually, Let's talk about my family I think",neutral
Let's talk about my family I think you know?,neutral
"In my experience, Look, I'm excited for work as far as I can tell",positive
"Look, I'm excited for work as far as I can tell don't you think?",positive
"Honestly, I'm thinking about my past",neutral
I'm thinking about my past from my perspective,neutral
I'm thinking about my past!,neutral
"You know, I mean, I'm disappointed with school actually",negative
"I mean, I'm disappointed with school actually...?",negative
"I believe Look, Let's talk about my day quite",neutral
"Look, Let's talk about my day quite...?",neutral
Maybe I hate my past it seems,negative
I believe I'm really happy about my relationship quite,positive
"You know, I'm excited for my job right?!",positive
I'm excited for my job right?!...?,positive
"In my experience, To be honest, I'm thinking about school if you ask me",neutral
I'm thinking about my family I suppose!! right?,neutral
I'm thinking about my family I suppose!!...?,neutral
"Listen, I need to discuss my day actually...?",neutral
I feel like I love my day it seems,positive
I love my day it seems...?,positive
"I think You know what, I hate my family",negative
"You know what, I hate my family you know?",negative
"You know what, I hate my family...?",negative
"To be honest, I'm really happy about my past right? maybe",positive
"To be honest, I'm really happy about my past right?...?",positive
I think I'm thinking about my family I suppose...,neutral
"Hey, Let's talk about my job actually I think",neutral
I'm disappointed with my friends from my perspective!!,negative
"In my experience, You see, I hate work,",negative
"You see, I hate work,!",negative
"I think Look, I need to discuss work I think",neutral
"Look, I need to discuss work I think from my perspective",neutral
"Look, I need to discuss work I think!!",neutral
I need to discuss school quite in my opinion,neutral
"I think You know what, I need to discuss my friends",neutral
"You know what, I need to discuss my friends maybe",neutral
"Actually, I'm excited for school it seems in my opinion",positive
Let's talk about my health right?...?,neutral
I need to discuss my future actually,neutral
"You know, Hey, I'm excited for my family if you ask me",positive
"Hey, I'm excited for my family if you ask me don't you think?",positive
"Hey, I'm excited for my family if you ask me!!",positive
"I think Hmm, I'm thinking about my day",neutral
"Hmm, I'm thinking about my day maybe",neutral
"Hmm, I'm thinking about my day...",neutral
I need to discuss my past right??!,neutral
I hate my past I think!! maybe,negative
"Actually, I'm upset about my health wouldn't you say?",negative
"Honestly, To be honest, I'm disappointed with my family I believe",negative
"To be honest, I'm disappointed with my family I believe?!",negative
"Well, I'm really happy about my health in my opinion...",positive
"You see, I'm disappointed with my future. maybe",negative
"You see, I'm disappointed with my future....?",negative
Maybe I'm really happy about my relationship??,positive
I'm really happy about my relationship?? in my opinion,positive
I'm really happy about my relationship??...?,positive
"In my experience, I'm upset about my future really",negative
I'm upset about my future really don't you think?,negative
"Actually, I'm really happy about my friends I think ",positive
"Listen, I love my job very right?",positive
"Listen, I love my job very...?",positive
I hate my past right?. right?,negative
I hate my past right?....,negative
I feel like I'm disappointed with my future I believe,negative
I'm disappointed with my future I believe right?,negative
I'm disappointed with my future I believe...?,negative
I hate my future in my opinion I think,negative
I hate my future in my opinion?!,negative
I'm upset about my past from my perspective you know?,negative
"To be honest, I'm thinking about my relationship very!?!",neutral
I'm disappointed with my job you know. right?,negative
"You know, I'm disappointed with my health don't you think?",negative
I'm disappointed with my health don't you think??!,negative
"You know, To be honest, I'm disappointed with my day it seems",negative
"To be honest, I'm disappointed with my day it seems...?",negative
"Actually, I need to discuss my past I suppose...!...?",neutral
I'm upset about my job,negative
I hate my relationship right? you know?,negative
"You know, Well, I hate my day don't you think?",negative
"Listen, I'm really happy about my job wouldn't you say? don't you think?",positive
"Listen, I'm really happy about my job wouldn't you say??!",positive
"Actually, Listen, I hate my friends I believe?!",negative
"Listen, I hate my friends I believe?!!!",negative
"Honestly, Well, I'm excited for my family it seems",positive
"You know, I'm really happy about work actually",positive
I'm really happy about work actually in my opinion,positive
I'm upset about school don't you think? maybe,negative
"I think Honestly, I'm thinking about my friends!!",neutral
"Honestly, I'm thinking about my friends!! don't you think?",neutral
"Actually, I'm really happy about my family I believe ",positive
"Honestly, I mean, I'm upset about my friends...",negative
"I mean, I'm upset about my friends... in my opinion",negative
"Honestly, I'm really happy about my job I believe right?",positive
"Maybe Listen, I hate work right?...",negative
"Listen, I hate work right?... don't you think?",negative
"You know, I hate school it seems!!",negative
I hate school it seems!! in my opinion,negative
I hate school it seems!!...?,negative
"So, Let's talk about school? in my opinion",neutral
"I feel like Well, I'm disappointed with my day if you ask me!",negative
"Actually, I need to discuss my health I think ",neutral
"To be honest, I love my relationship actually",positive
I hate my relationship in my opinion...! right?,negative
I hate my relationship in my opinion...!!,negative
"I believe I mean, I need to discuss my family",neutral
"I mean, I need to discuss my family...?",neutral
"Honestly, I'm disappointed with my relationship!",negative
I'm disappointed with my relationship! in my opinion,negative
I'm really happy about my friends very...?,positive
"In my experience, Look, I'm really happy about my health",positive
"I feel like Honestly, I love my family in my opinion",positive
"Honestly, I love my family in my opinion...",positive
I believe I need to discuss my friends I suppose,neutral
I need to discuss my friends I suppose!,neutral
"To be honest, I'm really happy about my health??",positive
"Honestly, Honestly, I love my job",positive
"Honestly, I love my job maybe",positive
"Honestly, I love my job?!",positive
I believe I'm thinking about my health right? ,neutral
I'm thinking about my health right?  you know?,neutral
I'm thinking about my health right? ...?,neutral
"To be honest, I'm upset about my family it seems!! from my perspective",negative
"To be honest, I'm upset about my family it seems!!!!",negative
I'm disappointed with school don't you think? from my perspective,negative
I'm disappointed with school don't you think?!,negative
"I mean, I'm excited for work.",positive
Maybe I love my future I suppose?,positive
"I believe Honestly, I'm excited for my relationship wouldn't you say?",positive
Let's talk about my past really,neutral
I need to discuss my future don't you think? !,neutral
I feel like I love my job,positive
I love my job!,positive
"Honestly, Let's talk about my past from my perspective don't you think?",neutral
"Honestly, Let's talk about my past from my perspective...?",neutral
"Hmm, I'm upset about my health",negative
I'm upset about work it seems,negative
"Actually, So, I need to discuss my relationship actually?",neutral
"So, I need to discuss my relationship actually? maybe",neutral
"So, I need to discuss my relationship actually?!!",neutral
"I think You see, I'm really happy about my job",positive
"You see, I'm really happy about my job you know?",positive
"You see, I'm really happy about my job...?",positive
"Listen, Let's talk about my friends really! don't you think?",neutral
"Listen, Let's talk about my friends really!!!",neutral
"Maybe Actually, I hate my job",negative
"Actually, I hate my job...",negative
"Honestly, Look, Let's talk about my day if you ask me",neutral
"Well, I'm upset about my job don't you think? right?",negative
"Well, I'm upset about my job don't you think?!",negative
I love my friends in my opinion,positive
"Honestly, Actually, I hate my health",negative
"Actually, I hate my health I think",negative
"Honestly, I need to discuss work?",neutral
"I think Honestly, I'm excited for my day you know??",positive
"I think Well, I'm thinking about my friends it seems",neutral
"Well, I'm thinking about my friends it seems you know?",neutral
"Well, I'm thinking about my friends it seems...",neutral
I love my family if you ask me!!!!,positive
"You know, To be honest, I'm thinking about my future you know",neutral
"To be honest, I'm thinking about my future you know from my perspective",neutral
"Honestly, Let's talk about my health don't you think???",neutral
Let's talk about my health don't you think??? you know?,neutral
Let's talk about my health don't you think???!!,neutral
"Honestly, Hey, I'm really happy about work in my opinion?",positive
"Hey, I'm really happy about work in my opinion?...?",positive
"I'm disappointed with my past you know, from my perspective",negative
"I'm disappointed with my past you know,...",negative
"Actually, I'm upset about work it seems from my perspective",negative
I believe Let's talk about school I believe,neutral
Let's talk about school I believe...?,neutral
"Maybe Hey, I'm disappointed with my health",negative
"Hey, I'm disappointed with my health you know?",negative
"In my experience, I'm excited for my relationship I suppose",positive
"So, I'm thinking about my friends I suppose you know?",neutral
"So, I'm thinking about my friends I suppose!",neutral
"I believe Look, I'm disappointed with school in my opinion?",negative
"Look, I'm disappointed with school in my opinion?!",negative
"I believe I'm thinking about my family,",neutral
"Maybe Actually, I'm thinking about my future?",neutral
"Actually, I'm thinking about my future? maybe",neutral
"Look, I hate my day as far as I can tell you know?",negative
"Honestly, I mean, I love my past",positive
"I mean, I love my past maybe",positive
"I mean, I love my past?!",positive
"Honestly, I love my future it seems.",positive
I love my future it seems. maybe,positive
Maybe Let's talk about my future?,neutral
Let's talk about my future??!,neutral
"To be honest, I'm excited for my relationship.",positive
"You know, Let's talk about my future it seems",neutral
Let's talk about my future it seems...,neutral
"You know, Well, I'm really happy about my future really",positive
"Well, I'm really happy about my future really!!",positive
"Look, I'm excited for my relationship",positive
"In my experience, I need to discuss my future don't you think?.",neutral
I need to discuss my future don't you think?. you know?,neutral
"In my experience, Actually, I hate my past really??",negative
I'm disappointed with my family you know?!,negative
"Honestly, You see, I'm upset about my day don't you think?",negative
"You see, I'm upset about my day don't you think?!",negative
"Hmm, I'm upset about work I suppose ",negative
"I think You know what, Let's talk about my job you know",neutral
"In my experience, I'm upset about my relationship",negative
I'm upset about my relationship from my perspective,negative
I'm upset about my relationship...?,negative
"Hmm, I hate my friends wouldn't you say?,!",negative
"So, I'm excited for my future don't you think?",positive
"So, I'm excited for my future...?",positive
"Actually, I'm disappointed with my friends as far as I can tell.",negative
I'm disappointed with my friends as far as I can tell. maybe,negative
"In my experience, I need to discuss school wouldn't you say?",neutral
I need to discuss school wouldn't you say? don't you think?,neutral
I need to discuss school wouldn't you say?!!,neutral
"I'm disappointed with work I believe,?!",negative
"I believe You see, I'm really happy about my relationship I think",positive
I believe I need to discuss work very?,neutral
I need to discuss work very? you know?,neutral
"Look, I need to discuss my future actually...",neutral
I'm upset about work really... from my perspective,negative
I'm upset about work really...?!,negative
I hate my job if you ask me !!,negative
I'm upset about my future you know don't you think?,negative
"In my experience, Let's talk about my day...!",neutral
I believe I'm disappointed with my day you know?,negative
"I feel like I mean, I'm excited for my past right?",positive
"I mean, I'm excited for my past right?!",positive
"You see, I'm upset about my past from my perspective",negative
"I believe Actually, I hate my relationship I suppose",negative
"Actually, I hate my relationship I suppose...",negative
"Look, I'm upset about my job actually",negative
"Hey, I'm thinking about my future quite you know?",neutral
"Hey, I'm thinking about my future quite...",neutral
I love my day? in my opinion,positive
I love my day?!!,positive
"Well, I'm excited for my family!!",positive
"In my experience, Look, I'm thinking about my past right?",neutral
"Look, I'm thinking about my past right? I think",neutral
"In my experience, I'm excited for my friends really.",positive
I'm excited for my friends really. right?,positive
I'm excited for my friends really....?,positive
I need to discuss my relationship from my perspective maybe,neutral
I need to discuss my relationship from my perspective...,neutral
"I feel like So, I'm upset about my job very",negative
"So, I'm upset about my job very you know?",negative
"So, I'm upset about my job very...",negative
"Listen, I'm excited for my family you know don't you think?",positive
I'm excited for my future you know?,positive
"Honestly, I'm upset about work?!",negative
"You know, I hate my past in my opinion",negative
I hate my past in my opinion right?,negative
"Hey, I'm disappointed with my family don't you think?!! don't you think?",negative
"I feel like Honestly, I'm excited for my health quite",positive
I feel like I'm really happy about my friends really!,positive
I'm really happy about my friends really!!!,positive
"Hmm, I need to discuss my friends right?...?",neutral
I'm excited for work?!,positive
"You know what, I'm thinking about my job it seems",neutral
"Actually, I hate my job I believe,",negative
"I hate my job I believe, from my perspective",negative
I hate my past as far as I can tell! don't you think?,negative
I believe I'm disappointed with work very,negative
"I think Hey, I hate my future!!",negative
"Hey, I hate my future!! I think",negative
"Hey, I hate my future!!...",negative
"Hmm, I love my family...!",positive
"I feel like You know what, I love school I think",positive
"You know what, I love school I think from my perspective",positive
"You know, I love my family in my opinion ",positive
I love my family in my opinion ...,positive
I'm excited for my health wouldn't you say???,positive
"To be honest, I hate my future really",negative
I believe I'm really happy about my family you know ,positive
"Look, I'm upset about my past right?!!",negative
"In my experience, You know what, I'm thinking about my relationship I think,",neutral
"You know what, I'm thinking about my relationship I think, don't you think?",neutral
"You know what, I'm thinking about my relationship I think,!!",neutral
"Maybe I mean, I love work I suppose",positive
"I mean, I love work I suppose right?",positive
"I mean, I love work I suppose...?",positive
"Actually, Look, Let's talk about my day!!",neutral
"Maybe You see, I'm excited for my health",positive
"Look, I hate my health as far as I can tell  I think",negative
"Look, I hate my health as far as I can tell !",negative
I'm excited for my family don't you think?...,positive
"Honestly, I love my family I believe",positive
I love my family I believe from my perspective,positive
I love my family I believe...?,positive
I'm thinking about my job in my opinion right?,neutral
I need to discuss my relationship  you know?,neutral
I need to discuss my relationship ...,neutral
"In my experience, I'm upset about my past?!",negative
I believe I love my relationship actually?,positive
I love my relationship actually? from my perspective,positive
I love my relationship actually?...,positive
"I think Actually, I'm upset about my future.",negative
"Actually, I'm upset about my future.!!",negative
"Honestly, You know what, I'm upset about my health...",negative
"You know what, I'm upset about my health...?!",negative
"In my experience, I'm really happy about my health very??",positive
I'm really happy about my health very??...,positive
"Actually, Actually, I hate my job don't you think?",negative
"Actually, I hate my job don't you think? I think",negative
"Actually, I hate my job don't you think?...",negative
I hate school I believe ,negative
"Actually, I hate my health in my opinion,",negative
"I feel like To be honest, I love my relationship??",positive
"To be honest, I love my relationship?? don't you think?",positive
"To be honest, I love my relationship???!",positive
"I'm excited for my past,?!",positive
I need to discuss my family ,neutral
I'm upset about my future you know?,negative
I'm upset about my future...,negative
"In my experience, Hey, Let's talk about my past actually?!",neutral
"Hey, Let's talk about my past actually?! right?",neutral
"Hey, Let's talk about my past actually?!...",neutral
"I believe I mean, I'm upset about my relationship",negative
"I mean, I'm upset about my relationship you know?",negative
"Listen, I love my future don't you think??!",positive
"You know, You see, I'm upset about my health very",negative
"You see, I'm upset about my health very maybe",negative
I hate work I think don't you think?,negative
Let's talk about my future from my perspective I think,neutral
Let's talk about my future from my perspective?!,neutral
"You know, Hey, I'm upset about my health",negative
"Hey, I'm upset about my health!!",negative
I hate my friends it seems?,negative
I believe I'm disappointed with my future you know!,negative
I'm disappointed with my future you know!!,negative
I'm upset about my job actually. in my opinion,negative
I'm upset about my job actually.?!,negative
I'm excited for my future wouldn't you say?...,positive
I'm upset about my job if you ask me!,negative
"You know what, I'm really happy about my past...",positive
I'm disappointed with my day actually?? from my perspective,negative
I'm disappointed with my day actually??...?,negative
"Actually, I'm thinking about my friends if you ask me!!",neutral
"In my experience, I hate my friends I think",negative
I hate my friends I think right?,negative
I'm really happy about my family quite I think,positive
I'm upset about work actually?? right?,negative
"In my experience, Let's talk about my relationship quite?!",neutral
Let's talk about my relationship quite?! in my opinion,neutral
"I think To be honest, I'm disappointed with my relationship ",negative
"To be honest, I'm disappointed with my relationship !",negative
"Actually, I hate work it seems?!?!",negative
"Well, I'm disappointed with my job...!?!",negative
"Listen, Let's talk about my future really?!",neutral
I feel like Let's talk about school you know.,neutral
"Hey, I love my job actually!",positive
"Actually, You see, I hate my day",negative
"You see, I hate my day?!",negative
"In my experience, I love my job it seems",positive
I love my job it seems in my opinion,positive
I love my job it seems!,positive
I love my past quite from my perspective,positive
I love my past quite!!,positive
I love my past  I think,positive
I'm really happy about my health right? from my perspective,positive
I'm really happy about my health right?...,positive
I think I'm upset about my past don't you think??,negative
I'm upset about my past don't you think?? in my opinion,negative
"I mean, Let's talk about my future don't you think??? from my perspective",neutral
"I mean, I'm thinking about my future really in my opinion",neutral
"I mean, I'm upset about my friends if you ask me???!",negative
I think Let's talk about work if you ask me!!,neutral
Let's talk about work if you ask me!!...,neutral
Maybe I'm disappointed with my future in my opinion!,negative
I'm disappointed with my future in my opinion!...,negative
"You know what, I'm thinking about my family if you ask me in my opinion",neutral
I'm thinking about my health right? maybe,neutral
"You know, I love work!",positive
"Hmm, I'm upset about my past don't you think? ",negative
"I feel like Hmm, I'm disappointed with my health really ",negative
"Maybe You know what, I'm disappointed with my job as far as I can tell.",negative
"You know what, I'm disappointed with my job as far as I can tell. you know?",negative
"Maybe Well, I'm thinking about work it seems",neutral
"Well, I'm thinking about work it seems...?",neutral
"Hey, I'm really happy about my job don't you think?",positive
"Hey, I'm really happy about my job?!",positive
"Well, I'm really happy about my friends really...! right?",positive
"Well, I'm really happy about my friends really...!?!",positive
"I believe To be honest, I hate my health",negative
"To be honest, I hate my health in my opinion",negative
"To be honest, I hate my health!",negative
"Maybe Well, I'm thinking about school",neutral
"Well, I'm thinking about school you know?",neutral
"I think To be honest, I hate my day from my perspective",negative
"To be honest, I hate my day from my perspective you know?",negative
Let's talk about my day in my opinion! you know?,neutral
Let's talk about my day in my opinion!...,neutral
I'm disappointed with my job!! right?,negative
I'm really happy about my health from my perspective...,positive
I need to discuss my friends it seems?!...,neutral
"I feel like You know what, I'm really happy about work it seems",positive
"You know what, I'm really happy about work it seems you know?",positive
